Internal Edit,Agency,Program Model,Division,Site Name,Address,Provider,Expertise 1,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux,website,wic accepted,language
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Mission of Christ Lutheran Ch,1345 N KARLOV AVE,Greater Chicago Food Depository,Emergency Food Assistance,1345,N,KARLOV,AVE,,Chicago,IL,60651,773 2526254,,26,HUMBOLDT PARK,23,1148837.959,1908829.759,41.9057624,-87.7287062,"(41.9057624, -87.7287062)",5,24,4299,286,49,41,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Haven of Rest,7901 S STONY ISLAND AVE,,Emergency Food Assistance,7901,S,STONY ISLAND,AVE,,Chicago,IL,60617,773 3754489,,8,SOUTH CHICAGO,46,1188308.812,1852903.591,41.7514429,-87.5855059,"(41.7514429, -87.5855059)",25,42,21202,431,35,9,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Ravenswood Community Serv. PY,1757 W WILSON AVE,,Emergency Food Assistance,1757,W,WILSON,AVE,,Chicago,IL,60640,773 7690282,,47,UPTOWN,3,1163790.1,1930553.993,41.9650726,-87.6731672,"(41.9650726, -87.6731672)",15,31,22616,576,18,13,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Sabina Parish,1120 W 79TH ST,Greater Chicago Food Depository,Emergency Food Assistance,1120,W,79TH,ST,,Chicago,IL,60620,773 8463018,,17,AUBURN GRESHAM,71,1170107.52,1852455.823,41.7506289,-87.6522176,"(41.7506289, -87.6522176)",59,70,21554,487,31,17,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,New Gresham,8700 S EMERALD AVE,,Emergency Food Assistance,8700,S,EMERALD,AVE,,Chicago,IL,60620,773 6518446,,21,AUBURN GRESHAM,71,1172792.241,1847071.109,41.7357938,-87.6425379,"(41.7357938, -87.6425379)",59,70,21554,608,13,18,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Back To God Church,7326 S RACINE AVE,,Emergency Food Assistance,7326,S,RACINE,AVE,,Chicago,IL,60636,773 2247083,,17,WEST ENGLEWOOD,67,1169553.699,1856088.835,41.7606104,-87.6541419,"(41.7606104, -87.6541419)",23,65,22257,408,31,17,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,European American Association,2827 W DIVISION ST,,Emergency Food Assistance,2827,W,DIVISION,ST,,Chicago,IL,60622,7733425868,,26,WEST TOWN,24,1157186.23,1907812.622,41.9028057,-87.6980676,"(41.9028057, -87.6980676)",4,25,21560,301,49,10,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Greater Mount Hebron MB Church,8000 S WOOD ST,,Emergency Food Assistance,8000,S,WOOD,ST,,Chicago,IL,60620,773 4807170,,17,AUBURN GRESHAM,71,1165700.346,1851602.036,41.7483806,-87.6683917,"(41.7483806, -87.6683917)",59,70,21554,574,31,6,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Elizabeth Church SVDP,50 E 41ST ST,,Emergency Food Assistance,50,E,41ST,ST,,Chicago,IL,60653,773 2681518,,3,GRAND BOULEVARD,38,1177486.646,1877883.311,41.8202411,-87.6244088,"(41.8202411, -87.6244088)",36,4,4301,163,9,12,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Sunlight of The Spirit,312 N KEDZIE AVE,,Emergency Food Assistance,312,N,KEDZIE,AVE,,Chicago,IL,60612,773 8261614,,28,EAST GARFIELD PARK,27,1154949.501,1901957.915,41.886785,-87.7064407,"(41.886785, -87.7064407)",30,28,21572,176,23,11,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,North Side Church of God,5145 N BROADWAY ST,,Emergency Food Assistance,5145,N,BROADWAY,ST,,Chicago,IL,60640,8458938825,,48,UPTOWN,3,1167419.025,1934540.984,41.9759355,-87.6597093,"(41.9759355, -87.6597093)",15,31,22616,634,16,40,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Glory to Glory Christian Ctr,12238 S PARNELL AVE,,Emergency Food Assistance,12238,S,PARNELL,AVE,,Chicago,IL,60628,773 5680074,,34,WEST PULLMAN,53,1174814.57,1823568.144,41.6712535,-87.6358263,"(41.6712535, -87.6358263)",19,50,21861,60,22,45,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Ebenezer MBC Food Pantry,4501 S VINCENNES AVE,,Emergency Food Assistance,4501,S,VINCENNES,AVE,,Chicago,IL,60653,773 3736144,,3,GRAND BOULEVARD,38,1180403.152,1875274.413,41.8130155,-87.61379,"(41.8130155, -87.61379)",36,4,4301,161,9,12,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Albany Park Food Pantry,3253 W WILSON AVE,,Emergency Food Assistance,3253,W,WILSON,AVE,,Chicago,IL,60625,773 4787941,,33,ALBANY PARK,14,1153636.809,1930295.873,41.9645729,-87.7105054,"(41.9645729, -87.7105054)",20,14,21849,24,20,2,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Sheldon Heights COC Pantry,11325 S HALSTED ST,,Emergency Food Assistance,11325,S,HALSTED,ST,,Chicago,IL,60628,773 5682929,,34,ROSELAND,49,1173052.928,1829640.182,41.6879551,-87.6420955,"(41.6879551, -87.6420955)",19,45,21861,486,22,45,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Union Avenue UMC Food Pantry,4350 S UNION AVE,,Emergency Food Assistance,4350,S,UNION,AVE,,Chicago,IL,60609,773 3730577,,11,NEW CITY,61,1172320.313,1875868.777,41.8148284,-87.6434205,"(41.8148284, -87.6434205)",37,59,14924,123,48,26,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Florian: SVDP Food Pantry,13145 S HOUSTON AVE,,Emergency Food Assistance,13145,S,HOUSTON,AVE,,Chicago,IL,60633,773 6464877,,10,HEGEWISCH,55,1198798.484,1818215.556,41.6559991,-87.548226,"(41.6559991, -87.548226)",26,52,22250,787,47,47,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Operation Pull Grant Memorial,4017 S DREXEL BLVD,,Emergency Food Assistance,4017,S,DREXEL,BLVD,,Chicago,IL,60653,773 2855819,,4,OAKLAND,36,1182804.479,1878216.263,41.8210326,-87.6048905,"(41.8210326, -87.6048905)",36,2,4301,220,10,1,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Kenwood Oakland Community Org,4242 S COTTAGE GROVE AVE,,Emergency Food Assistance,4242,S,COTTAGE GROVE,AVE,,Chicago,IL,60653,773 5487500,,4,GRAND BOULEVARD,38,1182278.204,1876850.417,41.8172969,-87.6068635,"(41.8172969, -87.6068635)",36,4,4301,583,10,1,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Christ Cathedral Baptist Ch.,449 W 111TH ST,,Emergency Food Assistance,449,W,111TH,ST,,Chicago,IL,60628,773 6604296,,34,ROSELAND,49,1175062.508,1831254.084,41.6923394,-87.6346907,"(41.6923394, -87.6346907)",19,45,21861,486,22,45,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Praise Tabernacle Deliverance,9511 S COMMERCIAL AVE,,Emergency Food Assistance,9511,S,COMMERCIAL,AVE,,Chicago,IL,60617,773 2217740,,10,SOUTH DEERING,51,1197840.894,1842401.318,41.7223912,-87.550926,"(41.7223912, -87.550926)",25,48,21202,526,47,47,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Grant A Wish Inc.,1136 E 93RD ST,,Emergency Food Assistance,1136,E,93RD,ST,,Chicago,IL,60619,773 4548352,,8,BURNSIDE,47,1185562.874,1843587.478,41.7259436,-87.5958608,"(41.7259436, -87.5958608)",61,43,21546,472,35,9,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Apostolic Pentecostal Church,11401-13 S VINCENNES AVE,,Emergency Food Assistance,,S,VINCENNES,AVE,,Chicago,IL,60643,773 8816900,,34,MORGAN PARK,75,1166388.071,1829077.338,41.6865547,-87.6665109,"(41.6865547, -87.6665109)",13,74,22212,378,22,45,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Iglesia Evangelica Emmanuel,5016 W ARMITAGE AVE,,Emergency Food Assistance,5016,W,ARMITAGE,AVE,,Chicago,IL,60639,773 2371645,,36,BELMONT CRAGIN,19,1142543.086,1912870.672,41.9169705,-87.7517291,"(41.9169705, -87.7517291)",2,19,22615,306,44,7,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,First Baptist Congregational,1613 W WASHINGTON BLVD,,Emergency Food Assistance,1613,W,WASHINGTON,BLVD,,Chicago,IL,60612,312 2438047,,27,NEAR WEST SIDE,28,1165575.132,1900724.145,41.8831798,-87.6674557,"(41.8831798, -87.6674557)",28,29,21184,90,46,41,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Emmaus Outreach Food Pantry,6059 S ARCHER AVE,,Emergency Food Assistance,6059,S,ARCHER,AVE,,Chicago,IL,60638,773 5222033,,23,GARFIELD RIDGE,56,1138189.363,1868254.618,41.7946176,-87.7688026,"(41.7946176, -87.7688026)",7,53,22268,587,6,35,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Carey Temple AME Food Pantry,7157 S GREENWOOD AVE,,Emergency Food Assistance,7157,S,GREENWOOD,AVE,,Chicago,IL,60619,773 3247767,,5,GREATER GRAND CROSSING,69,1184836.287,1857550.562,41.7642768,-87.5980853,"(41.7642768, -87.5980853)",61,67,21546,121,33,32,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Harmony Community Baptist Chur,1908 S MILLARD AVE,,Emergency Food Assistance,1908,S,MILLARD,AVE,,Chicago,IL,60623,773 7629673,,24,NORTH LAWNDALE,29,1152306.935,1890263.636,41.8547472,-87.7164535,"(41.8547472, -87.7164535)",57,30,21569,800,14,36,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Philip Neri Lady of Peace,2132 E 72ND ST,,Emergency Food Assistance,2132,E,72ND,ST,,Chicago,IL,60649,773 3631700,,5,SOUTH SHORE,43,1191817.676,1857685.617,41.7644808,-87.5724928,"(41.7644808, -87.5724928)",24,39,22538,453,33,32,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,New Dimension Christian Center,6115 W FULLERTON AVE,,Emergency Food Assistance,6115,W,FULLERTON,AVE,,Chicago,IL,60639,773 6339037,,36,BELMONT CRAGIN,19,1135173.367,1915263.263,41.92367,-87.778749,"(41.92367, -87.778749)",2,19,22615,77,44,52,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Our Lady of the Angels,824 N HAMLIN AVE,,Emergency Food Assistance,824,N,HAMLIN,AVE,,Chicago,IL,60651,773 2353132,,27,HUMBOLDT PARK,23,1150861.079,1905352.478,41.896181,-87.7213656,"(41.896181, -87.7213656)",5,24,4299,456,46,41,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,SVD: Our Lady of Grace Confere,3749 W ALTGELD ST,,Emergency Food Assistance,3749,W,ALTGELD,ST,,Chicago,IL,60647,773 7725900,102,31,LOGAN SQUARE,22,1150752.775,1916310.026,41.9262517,-87.7214763,"(41.9262517, -87.7214763)",1,23,22535,186,17,15,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Agatha's Food Pantry,3147 W DOUGLAS BLVD,,Emergency Food Assistance,3147,W,DOUGLAS,BLVD,,Chicago,IL,60623,773 5223050,,24,NORTH LAWNDALE,29,1155433.548,1893077.993,41.8624079,-87.7049019,"(41.8624079, -87.7049019)",57,30,21569,132,14,36,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Howard Area Community Center,7648 N PAULINA ST,,Emergency Food Assistance,7648,N,PAULINA,ST,,Chicago,IL,60626,773 2626622,,49,ROGERS PARK,1,1163617.006,1950864.677,42.0208094,-87.673228,"(42.0208094, -87.673228)",9,10,21853,340,5,3,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Francis De Sales: SVDP,10150 S AVENUE J AVE,,Emergency Food Assistance,10150,S,AVENUE J,AVE,,Chicago,IL,60617,773 7682850,,10,EAST SIDE,52,1202441.407,1838105.446,41.710487,-87.5342214,"(41.710487, -87.5342214)",25,49,21202,705,47,47,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Northwest Church of Christ,4602 N KILBOURN AVE,,Emergency Food Assistance,4602,N,KILBOURN,AVE,,Chicago,IL,60630,773 2832586,,39,IRVING PARK,16,1145210.449,1930243.189,41.9645922,-87.7414884,"(41.9645922, -87.7414884)",48,16,21869,362,38,20,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Care For Real,5341 N SHERIDAN RD,,Emergency Food Assistance,5341,N,SHERIDAN,RD,,Chicago,IL,60640,773 7696182,,48,EDGEWATER,77,1168712.209,1935790.59,41.9793365,-87.6549174,"(41.9793365, -87.6549174)",15,76,22616,93,16,40,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,New Mt. Calvary Baptist Church,1850 W MARQUETTE RD,,Emergency Food Assistance,1850,W,MARQUETTE,RD,,Chicago,IL,60636,773 5771090,,15,WEST ENGLEWOOD,67,1164947.55,1860283.167,41.7722188,-87.6709053,"(41.7722188, -87.6709053)",23,65,22257,281,3,44,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,First New Life Baptist Church,900 N WALLER AVE,,Emergency Food Assistance,900,N,WALLER,AVE,,Chicago,IL,60651,773 2611337,,29,AUSTIN,25,1138152.717,1905464.744,41.8967284,-87.7680388,"(41.8967284, -87.7680388)",5,26,4299,671,7,52,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Thomas of Canterbury,4827 N KENMORE AVE,,Emergency Food Assistance,4827,N,KENMORE,AVE,,Chicago,IL,60640,773 8785507,,46,UPTOWN,3,1168420.304,1932352.007,41.9699073,-87.6560909,"(41.9699073, -87.6560909)",15,31,22616,634,39,37,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Rock of Love MBC Food Pantry,7628 S ASHLAND AVE,,Emergency Food Assistance,7628,S,ASHLAND,AVE,,Chicago,IL,60620,773 9947490,,17,AUBURN GRESHAM,71,1166963.198,1853998.606,41.7549303,-87.6636959,"(41.7549303, -87.6636959)",59,70,21554,573,31,17,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,New Bethlehem #4 MBC Pantry,8850 S COTTAGE GROVE AVE,,Emergency Food Assistance,8850,S,COTTAGE GROVE,AVE,,Chicago,IL,60619,773 4837251,,8,CHATHAM,44,1183075.909,1846245.998,41.733297,-87.6048883,"(41.733297, -87.6048883)",61,40,21546,407,35,31,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Greater Holy Temple C.O.G.I.C.,246 N CALIFORNIA AVE,,Emergency Food Assistance,246,N,CALIFORNIA,AVE,,Chicago,IL,60612,773 7229430,,27,EAST GARFIELD PARK,27,1157644.749,1901531.422,41.8855602,-87.6965546,"(41.8855602, -87.6965546)",28,28,21184,50,46,41,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Common Pantry,3744 N DAMEN AVE,,Emergency Food Assistance,3744,N,DAMEN,AVE,,Chicago,IL,60618,773 3270553,,47,NORTH CENTER,5,1162303.456,1925057.156,41.9500203,-87.6787876,"(41.9500203, -87.6787876)",39,46,21538,613,18,13,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Inner-City Missions Network,7445 S SOUTH CHICAGO AVE,,Emergency Food Assistance,7445,S,SOUTH CHICAGO,AVE,,Chicago,IL,60619,708 4176226,,5,GREATER GRAND CROSSING,69,1185242.704,1855854.203,41.7596123,-87.596649,"(41.7596123, -87.596649)",61,67,21546,121,33,32,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Celestial Vision Food Pantry,3023 W FULLERTON AVE,,Emergency Food Assistance,3023,W,FULLERTON,AVE,,Chicago,IL,60647,773 5014064,,32,LOGAN SQUARE,22,1155723.487,1915760.181,41.9246441,-87.7032261,"(41.9246441, -87.7032261)",1,23,22535,371,40,15,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Lakeview Pantry,3831 N BROADWAY ST,,Emergency Food Assistance,3831,N,BROADWAY,ST,,Chicago,IL,60613,773 5251777,14,46,LAKE VIEW,6,1170267.685,1925895.29,41.9521495,-87.6494875,"(41.9521495, -87.6494875)",53,57,21186,690,39,37,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Polish American Association Counseling and Case Management,3834 N CICERO AVE,,Emergency Food Assistance,3834,N,CICERO,AVE,,Chicago,IL,60641,7732821122,,45,PORTAGE PARK,15,1143639.842,1925216.525,41.9508283,-87.7473896,"(41.9508283, -87.7473896)",21,15,22618,360,50,20,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,United Baptist Church,4220 W ROOSEVELT RD,,Emergency Food Assistance,4220,W,ROOSEVELT,RD,,Chicago,IL,60624,773 7224357,,24,NORTH LAWNDALE,29,1148337.99,1894408.785,41.8661993,-87.7309146,"(41.8661993, -87.7309146)",30,30,21572,98,14,36,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Matthew Child Advocate,1000 N ORLEANS ST,,Emergency Food Assistance,1000,N,ORLEANS,ST,,Chicago,IL,60610,312 6135740,,27,NEAR NORTH SIDE,8,1173688.964,1907115.302,41.9005409,-87.6374712,"(41.9005409, -87.6374712)",54,37,14926,148,46,41,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Philipino American SSHRC,1511 W IRVING PARK RD,,Emergency Food Assistance,1511,W,IRVING PARK,RD,,Chicago,IL,60613,773 2964532,,47,LAKE VIEW,6,1165219.79,1926600.58,41.9541939,-87.6680234,"(41.9541939, -87.6680234)",53,57,21186,724,18,13,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Emergency Assistance Program,721 N LA SALLE DR,,Emergency Food Assistance,721,N,LA SALLE,DR,,Chicago,IL,60654,312 6557514,,2,NEAR NORTH SIDE,8,1175045.306,1905316.672,41.8955751,-87.6325433,"(41.8955751, -87.6325433)",55,37,4446,670,11,22,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Greater Tab. MBC: Roseland PY,11240 S INDIANA AVE,,Emergency Food Assistance,11240,S,INDIANA,AVE,,Chicago,IL,60628,773 9287737,,9,ROSELAND,49,1179538.51,1830296.43,41.6896107,-87.6183326,"(41.6896107, -87.6183326)",19,45,21861,253,43,30,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
