Internal Edit,Agency,Program Model,Division,Site Name,Address,Provider,Age,Gender,Yrs in Practice,Expertise 1,Expertise 2,Expertise 3,Transportation Assistance,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,TSA: Midwest Corps Pantry,20 S CAMPBELL AVE,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,20,S,CAMPBELL,AVE,,Chicago,IL,60612,312 7334801,,27,NEAR WEST SIDE,28,1159718.765,1899691.125,41.8804678,-87.6889891,"(41.8804678, -87.6889891)",28,29,21184,785,46,48
,Housing Opportunities for Women,Permanent Supportive Housing,Homeless Services,South Side Supportive Services,1607 W HOWARD ST.,Housing Opportunities for Women,,,,Homelessness,Economic Services,Women,,1607,W,HOWARD,ST.,,Chicago,IL,60626,7734655770,X229,49,ROGERS PARK,1,1164042.59,1950305.427,42.0192658,-87.6716777,"(42.0192658, -87.6716777)",9,10,21853,489,5,3
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Family Cares Mission Pantry,7859 S ASHLAND AVE,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,7859,S,ASHLAND,AVE,,Chicago,IL,60620,7737235400,,17,AUBURN GRESHAM,71,1167085.4,1852367.358,41.7504513,-87.6632946,"(41.7504513, -87.6632946)",59,70,21554,557,31,17
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Grace Evangelic Church,4201 N MONTICELLO AVE,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,4201,N,MONTICELLO,AVE,,Chicago,IL,60618,7737776907,,35,IRVING PARK,16,1151343.952,1927708.489,41.9575184,-87.7190038,"(41.9575184, -87.7190038)",39,16,21538,364,12,2
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Christ Apostolic Church of IL,8157 S EXCHANGE AVE,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,8157,S,EXCHANGE,AVE,,Chicago,IL,60617,773 7212119,,7,SOUTH CHICAGO,46,1197290.529,1851205.599,41.7465646,-87.5526494,"(41.7465646, -87.5526494)",25,42,21202,505,37,43
,St. Leonard's Ministries,Interim Housing,Homeless Services,St. Leonard's Men's Program,2100 W WARREN ,St. Leonard's Ministries,,,,Homelessness,Economic Services,,No,2100,W,WARREN,,,Chicago,IL,60612,3127381414,22,27,NEAR WEST SIDE,28,1162372.125,1900380.253,41.8823037,-87.679227,"(41.8823037, -87.679227)",28,29,21184,37,46,48
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Pilgrim Rest M.B.C.,1901 W WASHINGTON BLVD,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,1901,W,WASHINGTON,BLVD,,Chicago,IL,60612,312 2437579,,27,NEAR WEST SIDE,28,1163695.836,1900670.343,41.883072,-87.6743581,"(41.883072, -87.6743581)",28,29,21184,90,46,41
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Kevin Food Pantry,10509 S TORRENCE AVE,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,10509,S,TORRENCE,AVE,,Chicago,IL,60617,773 7212563,,10,SOUTH DEERING,51,1195565.44,1835777.127,41.7042702,-87.5594786,"(41.7042702, -87.5594786)",25,48,21202,527,47,47
,Universal Family Connection,Counseling and Case Management Services,Domestic Violence,Universal Family Connection Couseling and Case Management,1350 W 103RD STREET,Universal Family Connection Counseling,,,,Domestic Violence,Economic Services,Case Management,Yes,1350,W,103RD,STREET,,Chicago,IL,60643,7738811711,1158,34,BEVERLY,72,1168966.878,1836504.36,41.7068805,-87.6568568,"(41.7068805, -87.6568568)",13,71,22212,628,22,18
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Mission of Christ Lutheran Ch,1345 N KARLOV AVE,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,1345,N,KARLOV,AVE,,Chicago,IL,60651,773 2526254,,26,HUMBOLDT PARK,23,1148837.959,1908829.759,41.9057624,-87.7287062,"(41.9057624, -87.7287062)",5,24,4299,286,49,41
,Austin Child Care Providers Network,Employment Preparation and Placement Program,Workforce Services,Austin Childcare Providers' Network,5701 W DIVISION ST,Austin Child Care Providers Network,,,,Subsidized Child Care,Job Training,Career Counseling,No,5701,W,DIVISION,ST,,Chicago,IL,60651,7733797627,,29,AUSTIN,25,1138112.627,1907384.491,41.9019971,-87.7681396,"(41.9019971, -87.7681396)",5,26,4299,671,7,52
,Chicago Youth Centers,Head Start,Children Services,Rebecca Crown,7601 S PHILLIPS AVE,Chicago Youth Centers,,,,Youth,Truancy,Runaways,No,7601,S,PHILLIPS,AVE,,Chicago,IL,60649,7737310444,,7,SOUTH SHORE,43,1193891.739,1855013.899,41.7570988,-87.5649785,"(41.7570988, -87.5649785)",24,39,22538,245,37,43
,Heartland Housing,Shelter Plus Care,Homeless Services,Shelter Plus Care,208 S LA SALLE ,Heartland Housing,,,,Homelessness,Economic Services,Career Counseling,No,208,S,LA SALLE,,1818,Chicago,IL,60608,3126601338,,42,LOOP,32,1175125.038,1899317.036,41.8791099,-87.6324304,"(41.8791099, -87.6324304)",29,38,14912,92,36,22
,Teen Living Programs,Youth Drop-In Center,Homeless Services,Drop-In Center,5500 S INDIANA AVE,Teen Living Programs,,,,Youth,Homelessness,Substance Abuse,,5500,S,INDIANA,AVE,,Chicago,IL,60637,773 5484443,,20,WASHINGTON PARK,40,1178498.509,1868463.38,41.794369,-87.6209833,"(41.794369, -87.6209833)",60,7,22260,403,4,53
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Sabina Parish,1120 W 79TH ST,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,1120,W,79TH,ST,,Chicago,IL,60620,773 8463018,,17,AUBURN GRESHAM,71,1170107.52,1852455.823,41.7506289,-87.6522176,"(41.7506289, -87.6522176)",59,70,21554,487,31,17
,Between Friends,Counseling and Case Management Services,Domestic Violence,Between Friends Counseling and Case Management,2301 W HOWARD STREET,Between Friends,,,,Domestic Violence,Case Management,Women,,2301,W,HOWARD,STREET,,Chicago,IL,60645,7732745232,,49,WEST RIDGE,2,1159667.167,1950322.83,42.0194052,-87.6877783,"(42.0194052, -87.6877783)",12,20,22528,341,5,3
